rest_id,Restaurant Name,Locality,Area Code,Address,City Code,Cuisine,Cost for 2,Is Recommended,Phone Numbers,Lat Longs,Description,Minimum Order,Delivery Charge Threshold,Compulsory Delivery Charge,Night Delivery fee,Restaurant Packing Charges,Service Tax (%),Service Charge (%),VAT (%),Commission Expression,Payment type,GSTIN Number,Business Entity name,GST Enabled,Go Live Date,Item_SGST,Item_CGST,Item_IGST,Item_inclusive,PC_SGST,PC_CGST,PC_IGST,PC_inclusive,SC_SGST,SC_CGST,SC_IGST,SC_inclusive,Normal Preptime,Peak Preptime,Orders Notify Email,Orders Notify Mobile,Restaurant Category,Parent Id,Monday Open 1,Monday Close 1,Monday Open 2,Monday Close 2,Monday Open 3,Monday Close 3,Tuesday Open 1,Tuesday Close 1,Tuesday Open 2,Tuesday Close 2,Tuesday Open 3,Tuesday Close 3,Wednesday Open 1,Wednesday Close 1,Wednesday Open 2,Wednesday Close 2,Wednesday Open 3,Wednesday Close 3,Thursday Open 1,Thursday Close 1,Thursday Open 2,Thursday Close 2,Thursday Open 3,Thursday Close 3,Friday Open 1,Friday Close 1,Friday Open 2,Friday Close 2,Friday Open 3,Friday Close 3,Saturday Open 1,Saturday Close 1,Saturday Open 2,Saturday Close 2,Saturday Open 3,Saturday Close 3,Sunday Open 1,Sunday Close 1,Sunday Open 2,Sunday Close 2,Sunday Open 3,Sunday Close 3,SV Enabled,Is Veg
766,Biryani Blues,Supermart I,87,"B 202-203, Supermart 1, DLF Phase 4",2,"Biryani,Hyderabadi",750,0,"P8010801000,01242865555","28.462238,77.08719799999994",0,0,200,30,30,30,([CART_SUBTOTAL]+30)*0.06,[CART_SUBTOTAL]*0,([CART_SUBTOTAL]+30)*0.1313,[bill_without_taxes]*0.18,1,06AADCT7092D1ZC,THEA KITCHEN PRIVATE LIMITED,1,dt:01-07-2017,4.0703,1.86,0,0,0,0,0,0,0,0,0,0,20,25,aprnaandrews@gmail.com,"8010801000, 01242865559",,127,1130,2230,,,,,1130,2230,,,,,1130,2230,,,,,1130,2230,,,,,1130,2230,,,,,1130,2230,,,,,1130,2230,,,,,0,0
775,Alkauser,DLF Phase 3,17,"Near Dronacharya Metro Station, DLF Phase 3",2,"North Indian,Lucknowi,Mughlai",550,0,"P7840842786,7840843786,7840845786","28.482206,77.09866999999997",0,0,200,0,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.148471616,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,20,25,rashidalkauser@gmail.com,9999174798,,2243,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,0,0
776,Angithi,DLF Phase 2,17,"165, Ground Floor, Central Arcade, DLF Phase 2",2,"North Indian,Chinese",450,0,"P01244051010,01244051020","28.481213,77.08512700000006",0,0,200,30,30,20,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill_without_taxes]*0.18,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,20,25,angithi@gmail.com,9899240008,,1823,1200,2315,,,,,1200,2315,,,,,1200,2315,,,,,1200,2315,,,,,1200,2315,,,,,1200,2315,,,,,1200,2315,,,,,0,0
780,Khaaja Chowk,DLF Phase 4,87,"3rd Floor, MGF Plaza Mall, MG Road",2,"North Indian,Mughlai",1100,0,"P01244019112,01244019113,01244109114","28.477673085840976,77.07310846972996",0,0,200,30,30,0,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.1048034935,1,06AAICS4575P1ZL,Sahsha Foods Private Ltd,1,dt:01-07-2017,0.09,0.09,0,0,0,0,0,0,0,0,0,0,30,30,"sunil@khaajachowk.com, plazamall@khaajachowk.com","81,303,718,619,873,900,000",,1937,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,1230,2300,,,,,0,0
781,Leaping Caravan,DLF Phase 4,17,"Shop No 45, City Court, Near Sikanderpur Metro Station, Gurgaon",2,"North Indian,South Indian,Bengali",700,0,P9015141688,"28.482755,77.09563700000001",0,0,200,30,30,35,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.139737991,1,06AAFCB6184J1ZG,BIG LEAP PROJECTS PVT. LTD,1,dt:01-07-2017,0.13125,0,0,0,0,0,0,0,0,0,0,0,20,25,contact@leapingcaravan.com,8285139913,,594,1000,2300,,,,,1000,2300,,,,,1000,2300,,,,,1000,2300,,,,,800,2300,,,,,800,2300,,,,,800,2300,,,,,0,0
786,PizzaVito,Golf Course Road,88,"Central plaza mall , GF , golf course road, phase 5 sector 53",2,"Italian,Mediterranean,Lebanese,Pizzas",900,0,"P01246520190,01246520191,01246520192","28.443098,77.101135",0,0,200,0,30,20,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill_without_taxes]*0.087336245,1,,,1,dt:01-07-2017,0.1313,0.06,0,0,0,0,0,0,0,0,0,0,20,25,southpoint105@gmail.com,9266804417,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,0,0
787,Cafe Wanderlust,DLF Phase 4,87,"SF 53-54, First Floor, DLF Galleria, DLF Phase 4",2,Cafe,900,0,"P01244113371,9540210585","28.467326,77.08206300000006",0,0,200,30,30,0,[CART_SUBTOTAL]*0.0494,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.15720524,1,06AAICM6281A1ZN,Montage Retail Pvt Ltd,1,dt:01-07-2017,0.09,0.09,0,0,0,0,0,0,0,0,0,0,20,25,cafewanderlust@gmail.com,"99,536,019,728,447,100,000",,,930,2300,,,,,930,2300,,,,,930,2300,,,,,930,2300,,,,,930,2300,,,,,930,2300,,,,,930,2300,,,,,0,0
788,Delhicacy,DLF Phase 4,87,"SF 14,1st Floor, DLF Galleria Market, DLF Phase 4",2,"North Indian,Street Food",320,0,"P9899097873,9953956543","28.46714,77.081953",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.131004367,1,06ARQPG1048M1ZJ,Delhicacy,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,25,30,prabal.ibsb@gmail.com,9953956543,,3138,1130,2200,,,,,1130,2200,,,,,1130,2200,,,,,1130,2200,,,,,1130,2200,,,,,1130,2200,,,,,1130,2200,,,,,0,1
789,Kitchen Se,DLF Phase 3,17,"U 2/42, RBS Building, DLF Phase 3",2,North Indian,300,0,"P9599536888,9873111724,8750913291","28.49128560223724,77.09354722090143",0,0,200,0,30,15,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill]*0.139737991,1,,,1,dt:01-07-2017,0.13125,0.06,0,0,0,0,0,0,0,0,0,0,20,20,apnirasoisc@gmail.com,"9599536888, 8750913291",,,1200,1600,1830,2245,,,1200,1600,1830,2245,,,1200,1600,1830,2245,,,1200,1600,1830,2245,,,1200,1600,1830,2245,,,1200,1600,1830,2245,,,1200,1600,1830,2245,,,0,1
790,Grandma's Kitchen,DLF Phase 3,17,"16/26, U Block, Near Punjab Tadka Restaurant, DLF Phase 3",2,Fast Food,200,0,"P7428728323,9953280323,9873879323","28.491394,77.09384399999999",0,0,200,0,30,20,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill_without_taxes]*0.15720524,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,20,20,khnn1@rediffmail.com,"7428728323,9953280323, 9873879323",,,800,2359,1,100,,,800,2359,1,100,,,800,2359,1,100,,,800,2359,1,100,,,800,2359,1,100,,,800,2359,1,100,,,800,2359,1,100,,,0,0
792,Oriental Fusion,Phase 4,87,"A 112 Supermart 1, DLF phase 4",2,"Chinese,Thai,Indonesian,Malaysian",400,0,"P01244040089,01244040090,9810077813,9971120863","28.462297,77.08718599999997",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.139737991,1,06AQVPS5991D1Z3,ASAHI HOSPITALITY,1,dt:01-07-2017,0.09,0.09,0,0,0,0,0,0,0,0,0,0,20,25,asahihospitality@gmail.com,9654045407,,684,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,0,0
794,Chef Style,DLF Phase 4,87,"SF-89-91,1st Floor, Galleria Market, DLF Phase-4",2,North Indian,600,0,"P01244277795,01244277796","28.467464,77.08178499999985",0,0,200,0,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.23,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,30,30,sheeks4444@yahoo.com,9810230008,,1321,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,1130,2300,,,,,0,0
795,Oriental Fusion,Sector 49,19,"G-46, Baani Square, Sector - 50, Gurgaon",2,"Chinese,Thai,Indonesian,Malaysian",400,0,"P01244072222,01244370463","28.425538,77.05730399999993",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.139737991,1,06AQVPS5991D1Z3,ASAHI HOSPITALITY,1,dt:01-07-2017,0.13125,0,0,0,0,0,0,0,0,0,0,0,20,20, asahihospitality@gmail.com,9821195162,,684,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,0,0
801,Zaika Punjabi,Sector 29,18,"Shop no 10, Metro Park HUDA City Center",2,Fast Food,350,0,"P9910437999,9873739586","28.459288,77.07333399999993",0,0,200,30,30,0,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill_without_taxes]*0.20,1,06AABFZ1427D1ZJ,ZEEBA CATERERS,1,dt:01-07-2017,0.1313,0.06,0,0,0,0,0,0,0,0,0,0,25,30,zaikapunjabi@yahoo.com,9910437999,,,900,2300,,,,,900,2300,,,,,900,2300,,,,,900,2300,,,,,900,2300,,,,,900,2300,,,,,900,2300,,,,,0,1
802,Mirchi Dhaba,Sushant Lok,88,"Opposite Paras Hospital, St Thomas Marg, C Block, Sushant Lok",2,North Indian,300,0,P9717101945,"28.449569,77.08767699999999",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill_without_taxes]*0.15,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,25,30,,9717101945,,,930,2359,0,145,,,930,2359,0,145,,,930,2359,0,100,,,930,2359,0,100,,,930,2359,0,145,,,930,2359,0,145,,,930,2359,0,145,,,0,0
807,Punjabi Food Inn,DLF Phase 2,17,"Shop 145, Central Arcade, Opposite Sahara Mall, DLF Phase 2",2,"North Indian,Chinese",550,0,"P01246465020,9953734539","28.481116,77.08578299999999",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill_without_taxes]*0.22,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,20,25,relaxpointindia@gmail.com,9953734539,,,1200,2330,,,,,1230,2330,,,,,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,0,0
812,Bikkgane Biryani,Sector 31,18,"SCO-6, 1st floor, Main Huda Market, Sec-31",2,"North Indian,Biryani,Hyderabadi",750,0,P01244388922,"28.452802,77.05041800000004",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.145,[bill_without_taxes]*0.15,1,,,1,dt:01-07-2017,0.09,0.09,0,0,0.09,0.09,0,0,0,0,0,0,20,25,thebiryaniparadise@gmail.com,9650133335,,137,1200,2230,,,,,1200,2230,,,,,1200,2230,,,,,1200,2230,,,,,1200,2230,,,,,1200,2230,,,,,1200,2230,,,,,0,0
820,Sum Yum Asia,DLF Phase 4,87,"B 110, Supermart 1, DLF Phase 4",2,"Chinese,Thai,Asian",600,0,"P01246500250,9540043393,9911242994","28.462462,77.08728300000007",0,0,200,0,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.135,[bill]*0.16,1,,,1,dt:01-07-2017,0.135,0,0,0,0,0,0,0,0,0,0,0,20,25,sumyumfood@gmail.com,9540043393,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,0,0
823,Your Plate,Sector 48,19,"D 2, 1st Floor, D Block Market, Unitech Shopping Complex, Sohna Road, South City 2",2,"Chinese,Thai",550,0,"P8800300041,8800300043","28.417368,77.05052599999999",0,0,200,0,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill]*0.174672489,1,,,1,dt:01-07-2017,0.1313,0,0,0,0,0,0,0,0,0,0,0,20,25,"lovelyy0505@gmail.com,amazesolutions0505@gmail.com",9811375258,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,0,0
832,Burger Homes,DLF Phase 1,87,"Shop no. m-15, Dlf phase 1, Qutub plaza",2,Fast Food,300,0,"P01244057079,9818957079","28.471595334081858,77.10195646032707",0,0,200,0,30,0,[CART_SUBTOTAL]*0.058,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.15720524,1,,,1,dt:01-07-2017,0.13125,0.058,0,0,0,0,0,0,0,0,0,0,20,25,burger25@gmail.com,9818957079,,1861,1030,2130,,,,,1030,2130,,,,,1030,2130,,,,,1030,2130,,,,,1030,2130,,,,,1030,2130,,,,,1030,2130,,,,,0,0
834,M.S Food Point,DLF Phase 3,17,"u block,50/21, dlf phase 3, gurgaon",2,"North Indian,Chinese",400,0,"P9555982937,9205541140","28.489814,77.09555699999999",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.15720524,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,20,25,abhayshokeen123@gmail.com,"95,559,829,379,205,500,000",,,2000,2259,,,,,2000,2259,,,,,2000,2259,,,,,2000,2259,,,,,2000,2259,,,,,2000,2259,,,,,2000,2259,,,,,0,0
842,Yo! China,Phase 4,87,"Shop B 209, Super Mart 1, DLF Phase 4",2,Chinese,900,0,P01244266666,"28.462462,77.08728300000007",0,0,200,30,30,10,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill_without_taxes]*0.174672489,1,,,1,dt:01-07-2017,0.06,0.06,0,0,0,0,0,0,0,0,0,0,20,25,yochinasupermart@gmail.com,7838392111,,999,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,0,0
844,Ginger Garlic,Sector 57,88,"Bestech Central Square Mall, Ground Floor, Sector 57",2,Chinese,600,0,"P01244004311,7838393111,01244001522","28.421693,77.09034500000007",0,0,200,30,30,10,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1314,[bill_without_taxes]*0.20,1,,,1,dt:01-07-2017,0.06,0.06,0,0,0,0,0,0,0,0,0,0,20,25,gingergarlic57@gmail.com,7838393111,,416,1145,2300,,,,,1145,2300,,,,,1145,2300,,,,,1145,2300,,,,,1145,2300,,,,,1145,2300,,,,,1145,2300,,,,,0,0
846,Maal Gaadi,Sushant Lok,87,"UGF 45 first floor, Sushant Vyapar Kendra, Phase 1, Sushant Lok",2,"North Indian,Mughlai",800,0,"P01246451122,01246451133,01246437331","28.460576,77.083752",0,0,200,0,30,0,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0.1,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.15720524,1,,,1,dt:01-07-2017,0.13125,0.06,0,0,0,0,0,0,0,0,0,0,20,25,lockupindia@gmail.com,9873623762,,,1200,2359,0,145,,,1200,2359,0,145,,,1200,2359,0,145,,,1200,2359,0,145,,,1200,2359,0,145,,,1200,2359,0,145,,,1200,2359,0,145,,,0,0
848,Moets Coco Palm,DLF Phase 4,87,"204, 2nd Floor, DT City Center Mall, MG Road",2,South Indian,1200,0,"P01244016382,01244016383,01244016384","28.47467,77.10489000000007",0,0,200,30,30,0,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill_without_taxes]*0.18,1,07AAAFM7936M1ZU,MOET'S BAR-B-CUE,1,dt:01-07-2017,0.1313,0.06,0,0,0,0,0,0,0,0,0,0,30,30,"sanjeevggn@dga.in, accounts@moets.com",9818775661,,,1100,2230,,,,,1100,2230,,,,,1100,2230,,,,,1100,2230,,,,,1100,2230,,,,,1100,2230,,,,,1100,2230,,,,,0,0
849,Petooz,Sector 29,18,"Huda City Center Metro Station, Sector 29",2,"Biryani,Fast Food,Thalis,Tandoor,Street Food",300,0,"P8585999663,8585999664","28.459305,77.07253500000002",0,0,200,30,30,5,[CART_SUBTOTAL]*0.06,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill_without_taxes]*0.131004367,1,06AADCI5271M1ZB,M/s Interesting Foods Pvt. Ltd.,1,dt:01-07-2017,0.1313,0.06,0,0,0,0,0,0,0,0,0,0,20,25,"rewari@petooz.com,huda@petooz.com","85,859,996,638,585,900,000",,714,1100,2150,,,,,1100,2150,,,,,1100,2150,,,,,1100,2150,,,,,1100,2150,,,,,1100,2150,,,,,1100,2150,,,,,0,0
850,Cafe La Pinoz,Saraswati Kunj,88,"94 D, Saraswati Kunj, Golf Course Road",2,Italian,800,0,P9250000016,"28.43847906804662,77.10280331484978",0,0,200,30,30,30,[CART_SUBTOTAL]*0.058,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill_without_taxes]*0.18,1,06AAHPB2697K1ZJ,ANANY HOSPITALITY  INDA,1,dt:01-07-2017,0.1313,0.058,0,0,0,0,0,0,0,0,0,0,20,25,parbanga@gmail.com,9250000034,,,1200,2300,,,,,1200,2300,,,,,1200,2300,,,,,1200,2300,,,,,1200,2300,,,,,1200,2300,,,,,1200,2300,,,,,0,0
859,Bikanervala,Sector 29,18,"3/5, City Center, Near Leisure Valley Park, Sector 29",2,"North Indian,Chinese,Desserts,South Indian,Fast Food",450,0,"P01244337777,01244337708","28.469181,77.06392200000005",0,0,200,30,30,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill_without_taxes]*0.131004367,1,06AAIFB6074D1ZN,BIKANERVALA GURGAON UNIT,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,25,30,"gurgaon@bikanervala.com,bikanervala.recep@gmail.com",,,123,1000,2200,,,,,1000,2200,,,,,1000,2200,,,,,1000,2200,,,,,1000,2200,,,,,1000,2200,,,,,1000,2200,,,,,0,1
